name,color,url
Albania,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-green-banner-and-text
Algeria,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-algeria
Anguilla,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-anguilla
Antigua and Barbuda,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-antigua-barbuda
Argentina,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-argentina
Armenia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-armenia
Aruba,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-aruba
Australia,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-australia
Austria,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-austria
Azerbaijan,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-green-banner-and-text
Bahamas,unknown,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-bahamas
Bahrain,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Barbados,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-barbados
Belarus,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-belarus
Belgium,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-belgium
Belize,unknown,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-belize
Benin,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-green-banner-and-text
Bermuda,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-bermuda
Bolivia,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-bolivia
Bonaire,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Bosnia-Herzegovina,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-bosnia
Botswana,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-botswana
Brazil,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-brazil
British Virgin Islands,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-british-virgin-islands
Bulgaria,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-bulgaria
Burkina Faso,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-burkina-faso
Canada,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-canada
Canary Islands,unknown,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-canary-islands
Cayman Islands,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-cayman-islands
Chile,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-chile
China,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-china
Colombia,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-colombia
"Congo, Republic of (Brazzaville)",green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-congo
Costa Rica,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-costa-rica
Country Not Listed,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Croatia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-croatia
Cuba,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Curacao,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-curacao
Cyprus,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-cyprus
Czech Republic,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-czech-republic
Denmark,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-denmark
Dominica,unknown,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-dominica
Dominican Republic,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-dominican-republic
Ecuador,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-ecuador
Egypt,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-egypt
El Salvador,unknown,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-elsalvador
England (Great Britain),orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/eu-echinococcus/pet-travel-echinococcus-treatments-uk
Estonia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-estonia
Falkland Islands,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Finland,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/eu-echinococcus/pet-travel-echinococcus-treatments
France,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-france
French Guyana,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-french-guyana
French Polynesia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Georgia,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-georgia
Germany,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-germany
Ghana,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-ghana
Great Britain,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/eu-echinococcus/pet-travel-echinococcus-treatments-uk
Greece,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-greece
Grenada,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-grenada
Guadeloupe,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-guadeloupe
Guatemala,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-guatemala
Guinea,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-guinea
Guyana,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-green-banner-and-text
Haiti,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Honduras,unknown,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-honduras
Hong Kong,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-hong-kong
Hungary,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-hungary
Iceland,unknown,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-iceland
India,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-india
Indonesia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-indonesia
Iraq,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-iraq
Ireland,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/eu-echinococcus/pet-travel-echinococcus-treatments
Isle of Man,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/eu-echinococcus/pet-travel-echinococcus-treatments-uk
Israel,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-israel
Italy,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-italy
Ivory Coast,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-ivory-coast
Jamaica,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-jamaica
Japan,purple,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-japan
Jordan,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Kazakhstan,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-kazakhstan
Kenya,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-kenya
Korea,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-korea
Kuwait,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-kuwait
Kyrgyzstan,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-kyrgyzstan
Latvia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-latvia
Liberia,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-green-banner-and-text
Lithuania,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-lithuania
Lebanon,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-lebanon
Luxembourg,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-luxembourg
North Macedonia,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-green-banner-and-text
Malaysia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-malaysia
Mali,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-mali
Malta,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/eu-echinococcus/pet-travel-echinococcus-treatments
Marshall Islands,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-marshall-islands
Martinique,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-martinique
Mexico,unknown,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-mexico
Moldova,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Mongolia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
Montenegro,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-green-banner-and-text
Morocco,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-morocco
Namibia,green,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-namibia
Netherlands,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/eu/pettravel-netherlands
New Caledonia,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/unknown-requirements-pet-travel-orange-banner-and-text
New Zealand,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-new-zealand
Nicaragua,orange,https://www.aphis.usda.gov/aphis/pet-travel/by-country/pettravel-nicaragua
